job_title,job_low_salary,job_high_salary,job_ave_salary,job_company,job_company_tag,job_education,job_experience,company_city,job_type
高级java开发工程师-急,20000,30000,25000.0,赢时胜,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
java  全栈开发工程师,8000,11000,9500.0,博亚君杰,计算机软件未融资100-499人,本科,1-3年,北京,Java
java开发工程师,13846.153846153846,18461.53846153846,16153.846153846152,睿银华信,互联网不需要融资100-499人,本科,经验不限,北京,Java
Java开发工程师,8000,13000,10500.0,泛微网络,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
Java开发工程师,9000,14000,11500.0,北京捷科,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
java开发,8000,12000,10000.0,华科,计算机软件B轮100-499人,本科,1-3年,北京,Java
Java开发工程师,25000,40000,32500.0,中信银行,银行已上市1000-9999人,本科,1年以内,北京,Java
Java,15000,30000,22500.0,阿里巴巴集团,互联网不需要融资10000人以上,本科,1-3年,北京,Java
Java软件工程师,10000,15000,12500.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java 工程师,15000,28000,21500.0,趣口才,O2OA轮100-499人,本科,经验不限,北京,Java
Java,10000,14000,12000.0,宇信科技,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java 技术经理,21428.571428571428,34285.71428571428,27857.142857142855,东方优播,在线教育已上市1000-9999人,本科,经验不限,北京,Java
JAVA开发工程师,9230.76923076923,13846.153846153846,11538.461538461539,北京初见科技,游戏C轮100-499人,本科,1年以内,北京,Java
Java驻场运维,9230.76923076923,12923.076923076924,11076.923076923078,华信永道,计算机软件已上市500-999人,本科,1-3年,北京,Java
资深JAVA开发工程师,25000,50000,37500.0,某知名互联网公司,互联网D轮及以上10000人以上,本科,经验不限,北京,Java
Java,8000,12000,10000.0,网梯科技,计算机软件不需要融资100-499人,本科,1-3年,北京,Java
Java,7384.615384615385,12000.0,9692.307692307691,北京南天,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java Web应用开发,6461.538461538462,9230.76923076923,7846.153846153846,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
java开发工程师,10000,15000,12500.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
Java开发工程师,7384.615384615385,12000.0,9692.307692307691,泛微网络,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
高级java开发,25000,50000,37500.0,北京恒昌利通,互联网金融未融资10000人以上,本科,经验不限,北京,Java
Java开发高级工程师,20000,40000,30000.0,京东集团,电子商务已上市10000人以上,本科,经验不限,北京,Java
Java助教,6000,8000,7000.0,慧科集团,在线教育D轮及以上500-999人,大专,1年以内,北京,Java
Java,20000,30000,25000.0,易益三人行,移动互联网未融资20-99人,大专,经验不限,北京,Java
java开发工程师,5000,10000,7500.0,芰荷股份,企业服务20-99人,本科,经验不限,北京,Java
Java工程师,7384.615384615385,12000.0,9692.307692307691,北京创思凌讯软件,计算机软件不需要融资20-99人,本科,1-3年,北京,Java
Java（数据）,9000,13000,11000.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
Java开发工程师,10000,15000,12500.0,东方金信,计算机软件B轮100-499人,本科,经验不限,北京,Java
Java开发（中高级）-石景山,8000,13000,10500.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
爬虫工程师 java,12000,18000,15000.0,慧博云通,计算机软件B轮1000-9999人,大专,经验不限,北京,Java
中级Java开发工程师【薪资面议】,11076.923076923076,22153.846153846152,16615.384615384613,华融易通,计算机软件未融资20-99人,本科,经验不限,北京,Java
Java开发工程师,10000,15000,12500.0,北京觅跑科技有限公司,移动互联网A轮100-499人,本科,1-3年,北京,Java
初级java开发工程师,8000,10000,9000.0,易诚互动,互联网不需要融资1000-9999人,本科,1-3年,北京,Java
Java开发工程师-2020年,9000,14000,11500.0,方正国际,计算机软件已上市1000-9999人,本科,应届生,北京,Java
Java开发工程师,13000,26000,19500.0,慧能分享,新能源不需要融资100-499人,本科,经验不限,北京,Java
Java服务器研发工程师,8000,13000,10500.0,华夏乐游,游戏不需要融资100-499人,本科,经验不限,北京,Java
Java开发工程师,10000,13000,11500.0,龙采体育集团,互联网不需要融资100-499人,本科,1-3年,北京,Java
Java 应届生/校招,11250.0,18750.0,15000.0,阿里巴巴集团,互联网不需要融资10000人以上,本科,应届生,北京,Java
Java工程师(启明）,10000,15000,12500.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
Java经理,15000,30000,22500.0,翔创科技,计算机软件A轮20-99人,本科,经验不限,北京,Java
高级Java,20000,35000,27500.0,险峰长青,移动互联网不需要融资20-99人,本科,经验不限,北京,Java
初级java开发工程师,6000,11000,8500.0,钓鱼台食品,医疗健康不需要融资100-499人,本科,1-3年,北京,Java
Java开发工程师（校招）,8000,13000,10500.0,闪银奇异,移动互联网D轮及以上1000-9999人,本科,应届生,北京,Java
Java开发工程师,7000,10000,8500.0,数浩科技,计算机软件不需要融资20-99人,本科,经验不限,北京,Java
初中级java开发工程师,8000,13000,10500.0,中信网科,计算机软件不需要融资1000-9999人,本科,经验不限,北京,Java
Java初级开发工程师,5000,9000,7000.0,汉卓,计算机服务天使轮0-20人,本科,应届生,北京,Java
Java工程师,10000,11000,10500.0,康益兴家政,人力资源服务未融资1000-9999人,本科,1-3年,北京,Java
JAVA开发工程师（2020届校招-北京,9000,14000,11500.0,马上消费金融,互联网金融不需要融资1000-9999人,本科,应届生,北京,Java
【阿里巴巴-高德校招】Java工程师,9750.0,15000.0,12375.0,高德地图,互联网已上市1000-9999人,本科,应届生,北京,Java
Java 开发工程师,10000,15000,12500.0,中科软科技,互联网金融已上市10000人以上,本科,1-3年,北京,Java
Java开发工程师,7000,12000,9500.0,泛微,计算机软件不需要融资1000-9999人,本科,1-3年,北京,Java
java工程师,20000,40000,30000.0,好大夫在线,互联网D轮及以上500-999人,本科,经验不限,北京,Java
Java,13846.153846153846,27692.30769230769,20769.23076923077,LinkDoc,移动互联网D轮及以上1000-9999人,本科,经验不限,北京,Java
Java开发工程师/高级工程师,9230.76923076923,13846.153846153846,11538.461538461539,中科软,计算机软件已上市10000人以上,本科,经验不限,北京,Java
java,8307.692307692309,12923.076923076924,10615.384615384617,众智人人,互联网天使轮100-499人,大专,1-3年,北京,Java
Java工程师,8000,13000,10500.0,金环科技,计算机软件不需要融资20-99人,本科,1-3年,北京,Java
java开发工程师,6000,11000,8500.0,中科软,计算机软件已上市10000人以上,本科,经验不限,北京,Java
java虚拟机工程师,25000,50000,37500.0,华为,计算机软件不需要融资10000人以上,本科,经验不限,北京,Java
Java,12000,24000,18000.0,华泰安信,通信/网络设备未融资20-99人,本科,经验不限,北京,Java
Java,25000,50000,37500.0,水滴公司,互联网金融C轮1000-9999人,本科,经验不限,北京,Java
java高级工程师,15000,25000,20000.0,网上客,计算机软件20-99人,学历不限,经验不限,北京,Java
Java,8000,13000,10500.0,中科软科技,互联网金融已上市10000人以上,本科,1-3年,北京,Java
Java开发工程师,16000.0,32000.0,24000.0,百度,互联网已上市10000人以上,本科,经验不限,北京,Java
Java,25000,40000,32500.0,轻课,互联网A轮100-499人,本科,经验不限,北京,Java
Java工程师,7384.615384615385,12000.0,9692.307692307691,贵州东方国信,计算机软件未融资20-99人,本科,1-3年,北京,Java
Java,10000,20000,15000.0,北唐,计算机软件未融资100-499人,本科,3-5年,北京,Java
Java开发工程师,9000,14000,11500.0,科蓝软件,计算机软件已上市1000-9999人,本科,1年以内,北京,Java
Java高级工程师,15000,25000,20000.0,卓易万象科技,办公用品及设备不需要融资20-99人,本科,经验不限,北京,Java
Java软件开发工程师,10000,15000,12500.0,博汇科技,信息安全不需要融资100-499人,本科,1-3年,北京,Java
中级JAVA工程师,9000,12000,10500.0,宇信科技,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java开发工程师,10000,15000,12500.0,北京华路时代,计算机软件已上市500-999人,本科,经验不限,北京,Java
java架构师,25000,35000,30000.0,特瓦特,计算机软件不需要融资100-499人,本科,经验不限,北京,Java
Java开发,8000,10000,9000.0,北京驰诺佳,计算机软件100-499人,大专,1-3年,北京,Java
Java开发工程师,15000,25000,20000.0,车之翼,财务/审计/税务未融资20-99人,本科,经验不限,北京,Java
JAVA开发,8000,13000,10500.0,网上客,计算机软件20-99人,本科,1-3年,北京,Java
Java高级开发工程师,15000,30000,22500.0,岚时LansTech,移动互联网A轮20-99人,本科,经验不限,北京,Java
Java,13600.0,24000.0,18800.0,中信银行,银行已上市1000-9999人,本科,经验不限,北京,Java
Java,15000,20000,17500.0,爆点科技,电子商务0-20人,本科,经验不限,北京,Java
JAVA开发,12000,24000,18000.0,北京天润融通,通信/网络设备已上市100-499人,本科,经验不限,北京,Java
JAVA,7000,12000,9500.0,中协齐桓,广告/公关/会展未融资20-99人,本科,经验不限,北京,Java
Java,8000,13000,10500.0,远浪,计算机软件不需要融资20-99人,本科,1-3年,北京,Java
Java开发工程师,8000,12000,10000.0,银丰新融,计算机软件不需要融资500-999人,本科,1-3年,北京,Java
java开发-北京-金融类,10000,15000,12500.0,共睿科技,计算机软件C轮100-499人,本科,1-3年,北京,Java
Java工程师,12857.142857142857,25714.285714285714,19285.714285714286,紫宸正阳,医疗健康B轮100-499人,本科,经验不限,北京,Java
java,15000,17000,16000.0,柯莱特集团,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
java（外派中国软件国企）,12000,20000,16000.0,文思海辉,计算机软件已上市10000人以上,本科,经验不限,北京,Java
Java开发工程师,8000,13000,10500.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
中高级Java开发工程师,8000,13000,10500.0,泛微网络,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
客户现场实施工程师/Java工程师,15000,25000,20000.0,睿智合创,互联网金融A轮100-499人,本科,经验不限,北京,Java
少儿编程讲师-JAVA/python/c,7000,12000,9500.0,达内集团,在线教育已上市1000-9999人,本科,经验不限,北京,Java
初中高级Java开发工程师,11000,18000,14500.0,中软国际,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java软件工程师,5538.461538461538,7384.615384615385,6461.538461538461,挖酒网,互联网B轮100-499人,本科,1-3年,北京,Java
Java开发工程师,9000,13000,11000.0,文思海辉·金融,计算机软件不需要融资10000人以上,本科,1-3年,北京,Java
Java,20000,40000,30000.0,小药药,医疗健康C轮1000-9999人,本科,经验不限,北京,Java
Java开发工程师,7000,13000,10000.0,泛微网络,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
中高级Java开发工程师,12000,21000,16500.0,汇启软件,计算机软件未融资100-499人,大专,经验不限,北京,Java
Java开发工程师（校招）,6000,8000,7000.0,永洪科技,互联网C轮100-499人,本科,应届生,北京,Java
软件开发工程师（java）,6000,10000,8000.0,中公高科,计算机软件100-499人,本科,1-3年,北京,Java
Java工程师,6000,11000,8500.0,科码先锋,电子商务已上市100-499人,本科,1-3年,北京,Java
JAVA---外派西二旗光大银行,8000,10000,9000.0,宇信科技,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java开发工程师/初中级,8000,13000,10500.0,仁聚汇通,互联网A轮100-499人,本科,1-3年,北京,Java
（北京）Java工程师/高级工程师,9000,14000,11500.0,北京点聚,计算机软件不需要融资20-99人,本科,经验不限,北京,Java
Java交付工程师,7384.615384615385,12000.0,9692.307692307691,邦盛科技,互联网C轮100-499人,本科,1-3年,北京,Java
Java,8000,10000,9000.0,北京广元科技有限公司,企业服务未融资20-99人,大专,1-3年,北京,Java
Java后端开发工程师,8000,13000,10500.0,六视科技,企业服务未融资0-20人,本科,1-3年,北京,Java
Java后台开发工程师,10000,15000,12500.0,Esri中国,计算机软件未融资100-499人,本科,1-3年,北京,Java
Java开发工程师,10000,12000,11000.0,佰职,移动互联网A轮0-20人,本科,应届生,北京,Java
java工程师,8000,12000,10000.0,亿阳信通,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java,15000,25000,20000.0,法本,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
Java开发,8307.692307692309,12923.076923076924,10615.384615384617,藜麦,数据服务不需要融资20-99人,本科,1-3年,北京,Java
java开发工程师,7000,12000,9500.0,盛和资讯科技,企业服务A轮20-99人,本科,经验不限,北京,Java
Java开发工程师,14000,19000,16500.0,软通动力,计算机软件已上市10000人以上,本科,经验不限,北京,Java
JAVA工程师,6461.538461538462,11076.923076923076,8769.23076923077,中科全安,信息安全未融资20-99人,大专,1年以内,北京,Java
Java开发 统招本科,10000,13000,11500.0,北京朗杰,培训机构D轮及以上100-499人,本科,经验不限,北京,Java
Java,8400.0,14400.0,11400.0,中信银行,银行已上市1000-9999人,本科,经验不限,北京,Java
Java开发工程师,7000,12000,9500.0,泛微网络,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
Java高级研发工程师,19000,30000,24500.0,北京摩拜科技有限公司,互联网已上市10000人以上,本科,经验不限,北京,Java
银行中后台系统微服务JAVA架构设计岗,25000,40000,32500.0,中信银行,银行已上市1000-9999人,本科,经验不限,北京,Java
Java开发工程师,9000,14000,11500.0,远浪,计算机软件不需要融资20-99人,本科,经验不限,北京,Java
java开发工程师,7384.615384615385,11076.923076923076,9230.76923076923,sec,计算机软件不需要融资500-999人,本科,应届生,北京,Java
Java工程师,8000,12000,10000.0,易诚互动,互联网不需要融资1000-9999人,本科,1-3年,北京,Java
JAVA开发,9230.76923076923,13846.153846153846,11538.461538461539,微智娱(北京)科...,互联网A轮20-99人,本科,1-3年,北京,Java
Java开发助理,3692.3076923076924,7384.615384615385,5538.461538461539,世纪文都教育,在线教育B轮1000-9999人,本科,经验不限,北京,Java
Java,6000,8000,7000.0,红桥科技,计算机软件0-20人,本科,1年以内,北京,Java
高级Java开发工程师,20000.0,36000.0,28000.0,美团点评,O2O已上市10000人以上,本科,经验不限,北京,Java
Java开发工程师,10000,12000,11000.0,神州数码,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java后台开发,10000,12000,11000.0,北京宜通,通信/网络设备不需要融资1000-999,本科,1-3年,北京,Java
售前技术支持工程师（JAVA）,5000,10000,7500.0,同定科技,计算机软件未融资0-20人,大专,经验不限,北京,Java
Java,8000,16000,12000.0,程易科技,企业服务未融资20-99人,本科,1-3年,北京,Java
代码审计工程师/专家（Java方向）,13000,26000,19500.0,安恒信息,信息安全D轮及以上1000-9999人,学历不限,经验不限,北京,Java
北京中高级Java开发,13000,20000,16500.0,北京三赢伟业,计算机软件不需要融资1000-9999人,本科,经验不限,北京,Java
Java,11000,20000,15500.0,轩宇信息,计算机软件不需要融资100-499人,本科,经验不限,北京,Java
Java开发工程师,8000,16000,12000.0,安尼梅森,计算机软件A轮100-499人,本科,1-3年,北京,Java
Java代码审计,25000,35000,30000.0,滴滴,移动互联网D轮及以上1000-9999人,本科,经验不限,北京,Java
Java开发工程师,8000,12000,10000.0,北明软件,互联网已上市1000-9999人,本科,1-3年,北京,Java
java开发工程师,8000,13000,10500.0,中科江南,计算机软件未融资500-999人,本科,1-3年,北京,Java
JAVA,10000,15000,12500.0,中协齐桓,广告/公关/会展未融资20-99人,本科,经验不限,北京,Java
Java,10000,15000,12500.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
java开发,10000,15000,12500.0,深圳雁联,互联网不需要融资1000-9999人,本科,经验不限,北京,Java
Java Developer,9230.76923076923,13846.153846153846,11538.461538461539,Cognizant,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
JAVA开发工程师（六险一金）(J118,10000,15000,12500.0,北京华宇信息,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java开发工程师（北京）,10000,15000,12500.0,科蓝软件,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java开发工程师,12000,16000,14000.0,慧科集团,在线教育D轮及以上500-999人,本科,经验不限,北京,Java
Java开发工程师,8307.692307692309,12923.076923076924,10615.384615384617,泽元软件,计算机软件未融资100-499人,本科,1-3年,北京,Java
JAVA研发工程师,12000,20000,16000.0,京东世纪贸易有限公司,互联网已上市10000人以上,本科,1-3年,北京,Java
JAVA工程师,8000,13000,10500.0,盛威时代,移动互联网B轮100-499人,本科,1-3年,北京,Java
北京-初级Java开发,6000,10000,8000.0,络道科技,计算机软件不需要融资20-99人,本科,1-3年,北京,Java
Java,11000,22000,16500.0,北京瑞友科技,计算机软件不需要融资1000-9999人,本科,1-3年,北京,Java
Java（银行经验）,10000,15000,12500.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
Java,16000,20000,18000.0,岚时LansTech,移动互联网A轮20-99人,本科,1年以内,北京,Java
高级Java开发工程师,15000,30000,22500.0,高济医疗,医疗/护理/卫生不需要融资10000人以,本科,经验不限,北京,Java
JAVA开发工程师,13000,17000,15000.0,赚赚科技,互联网金融A轮100-499人,大专,经验不限,北京,Java
java开发,11000,17000,14000.0,北京南天,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
Java,8000,13000,10500.0,云智小橙,计算机软件未融资100-499人,本科,1-3年,北京,Java
Java,13000,25000,19000.0,兆尹科技,计算机软件已上市1000-9999人,本科,经验不限,北京,Java
java工程师,15000,30000,22500.0,好大夫在线,互联网D轮及以上500-999人,本科,应届生,北京,Java
Java,10000,15000,12500.0,百微,计算机软件不需要融资500-999人,本科,1-3年,北京,Java
Java,5000,10000,7500.0,露天,计算机软件不需要融资20-99人,本科,应届生,北京,Java
java研发人员（针对2019/2020,8000,13000,10500.0,赞同科技,计算机软件未融资1000-9999人,本科,应届生,北京,Java
Java开发工程师,15000,30000,22500.0,拉索星球,O2OA轮20-99人,本科,经验不限,北京,Java
JAVA技术经理（统招本科）,12857.142857142857,17142.85714285714,15000.0,北京朗杰,培训机构D轮及以上100-499人,本科,经验不限,北京,Java
Java,5000,10000,7500.0,春晖远大,计算机软件未融资0-20人,本科,经验不限,北京,Java
初级Java开发(急招),7000,9000,8000.0,飞宏盈科,计算机软件100-499人,本科,1-3年,北京,Java
Java工程师,15000,20000,17500.0,速学教育科技,培训机构天使轮20-99人,本科,经验不限,北京,Java
高级JAVA工程师,20000,35000,27500.0,首金网,互联网金融未融资100-499人,本科,经验不限,北京,Java
Java开发工程师,8000,12000,10000.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
中级java开发工程师-保险经验,9000,12000,10500.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java,22500.0,45000.0,33750.0,阿里云,互联网已上市1000-9999人,本科,经验不限,北京,Java
Java   T,10000,13000,11500.0,北京易博中天,计算机软件未融资20-99人,本科,1-3年,北京,Java
中高级java开发工程师,11000,20000,15500.0,融通智慧,计算机软件不需要融资100-499人,本科,经验不限,北京,Java
Java,8000,13000,10500.0,盈实科技,互联网未融资20-99人,本科,经验不限,北京,Java
Java,10000,15000,12500.0,时间跳动科技,培训机构未融资0-20人,本科,1-3年,北京,Java
中级java开发工程师 (MJ00009,18461.53846153846,27692.30769230769,23076.923076923078,水滴公司,互联网金融C轮1000-9999人,本科,经验不限,北京,Java
Java工程师-大数据方向（北京）,15000,30000,22500.0,SensorsData,互联网C轮100-499人,本科,经验不限,北京,Java
Java中高级开发工程师(J10017),18000,35000,26500.0,思享时代,互联网不需要融资100-499人,本科,经验不限,北京,Java
Java开发工程师,13846.153846153846,27692.30769230769,20769.23076923077,聚分享,电子商务天使轮20-99人,本科,经验不限,北京,Java
java开发工程师—20届校招(J104,13846.153846153846,27692.30769230769,20769.23076923077,好大夫在线,移动互联网D轮及以上500-999人,本科,应届生,北京,Java
（Java软件工程师）,8000,13000,10500.0,开科唯识,计算机软件未融资1000-9999人,本科,经验不限,北京,Java
高级Java工程师,14666.666666666666,23333.333333333332,19000.0,天弘基金,互联网金融未融资500-999人,本科,经验不限,北京,Java
java,15000,25000,20000.0,乘法云,互联网B轮100-499人,本科,经验不限,北京,Java
Java,1000,6000,3500.0,慧源祥,电子商务未融资0-20人,本科,经验不限,北京,Java
Java开发工程师,12857.142857142857,25714.285714285714,19285.714285714286,ThoughtWorks,互联网不需要融资1000-9999人,本科,经验不限,北京,Java
java中级开发工程师,12000,20000,16000.0,中互保,计算机软件20-99人,学历不限,经验不限,北京,Java
Java开发（银行）,10000,15000,12500.0,金泰亚盛,计算机软件D轮及以上100-499人,本科,1-3年,北京,Java
Java软件开发工程师,6461.538461538462,11076.923076923076,8769.23076923077,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java研发工程师,18750.0,33750.0,26250.0,贝壳找房,互联网D轮及以上10000人以上,本科,经验不限,北京,Java
Java后端开发工程师,7000,12000,9500.0,神州锐达,互联网B轮100-499人,本科,1-3年,北京,Java
（2020届）Java工程师,13846.153846153846,27692.30769230769,20769.23076923077,好大夫在线,移动互联网D轮及以上500-999人,本科,应届生,北京,Java
JAVA开发工程师（北京）,8000,13000,10500.0,科蓝软件,计算机软件已上市1000-9999人,本科,1-3年,北京,Java
Java研发工程师,10000,15000,12500.0,梧桐花开,计算机软件A轮20-99人,本科,1-3年,北京,Java
Java开发工程师,15000,22000,18500.0,北京尚德机构,在线教育已上市10000人以上,本科,经验不限,北京,Java
JAVA高级开发,25000,45000,35000.0,新东方在线,在线教育不需要融资500-999人,本科,经验不限,北京,Java
java开发（存储过程） (MJ0008,8307.692307692309,11076.923076923076,9692.307692307691,神州数码,计算机软件已上市10000人以上,本科,1-3年,北京,Java
JAVA工程师,8000,13000,10500.0,鸿云亚信,移动互联网未融资100-499人,本科,3-5年,北京,Java
JAVA研发工程师(阿里2020校招，工,15000,25000,20000.0,阿里巴巴集团,互联网不需要融资10000人以上,本科,应届生,北京,Java
Java,10000,11000,10500.0,时代腾达,电子商务不需要融资100-499人,本科,经验不限,北京,Java
Java开发工程师,8000,13000,10500.0,智信佳,互联网未融资20-99人,本科,1-3年,北京,Java
java,15000,18000,16500.0,中软国际,计算机软件已上市10000人以上,本科,经验不限,北京,Java
Java,7000,12000,9500.0,中科软,计算机软件已上市10000人以上,本科,1-3年,北京,Java
Java工程师,10000,15000,12500.0,壹号THEONE杂志,文化/体育/娱乐0-20人,本科,1-3年,北京,Java
Java高级开发工程师,15000,30000,22500.0,管家帮,生活服务D轮及以上1000-9999人,本科,经验不限,北京,Java
Java工程师,10000,15000,12500.0,米袋子,互联网不需要融资100-499人,本科,1-3年,北京,Java
Java中级开发工程师,12000,15000,13500.0,艾雷朗特,计算机服务20-99人,大专,经验不限,北京,Java
Java开发（北京信贷）,7384.615384615385,11076.923076923076,9230.76923076923,浪潮集团,计算机软件已上市10000人以上,本科,1-3年,北京,Java
java工程师,9230.76923076923,13846.153846153846,11538.461538461539,八爪鱼互动,移动互联网天使轮1000-9999人,本科,3-5年,北京,Java
JAVA开发工程师,10000,20000,15000.0,中国电信运营中心,通信/网络设备未融资100-499人,本科,1-3年,北京,Java
JAVA开发工程师,10000,15000,12500.0,盛威时代,移动互联网B轮100-499人,本科,1-3年,北京,Java
Java开发工程师,12000.0,16615.384615384617,14307.692307692309,脉课,在线教育天使轮20-99人,大专,3-5年,北京,Java
Java,10000,15000,12500.0,聚通达科技,移动互联网未融资100-499人,本科,1-3年,北京,Java
